STRTNO,SIZE,year,yng,DEPLY,size2,surv
36,0.68,4,5,0,0.4624,0
36,0.68,5,0,0,0.4624,0
36,0.68,6,7,0,0.4624,0
36,0.68,7,0,0,0.4624,0
36,0.68,8,0,0,0.4624,1
37,1.11,1,0,0,1.2321,1
37,1.11,2,0,0,1.2321,0
37,1.11,3,0,0,1.2321,0
37,1.11,4,0,0,1.2321,0
37,1.11,5,0,0,1.2321,0
37,1.11,6,0,0,1.2321,0
37,1.11,7,10,0,1.2321,0
37,1.11,8,11,0,1.2321,1
38,0.23,1,0,1,0.0529,0
38,0.23,2,0,1,0.0529,0
38,0.23,3,0,1,0.0529,0
38,0.23,4,9,1,0.0529,0
38,0.23,5,0,1,0.0529,0
38,0.23,6,0,1,0.0529,0
38,0.23,7,0,1,0.0529,0
38,0.23,8,0,1,0.0529,0
39,0.23,1,0,1,0.0529,0
39,0.23,2,0,1,0.0529,0
39,0.23,3,0,1,0.0529,0
39,0.23,4,0,1,0.0529,0
39,0.23,5,7,1,0.0529,0
39,0.23,6,11,1,0.0529,0
39,0.23,7,8,1,0.0529,0
39,0.23,8,0,1,0.0529,0
40,2.24,1,11,0,5.0176,0
40,2.24,2,10,0,5.0176,0
40,2.24,3,13,0,5.0176,0
40,2.24,4,0,0,5.0176,0
40,2.24,5,0,0,5.0176,0
40,2.24,6,0,0,5.0176,0
40,2.24,7,0,0,5.0176,0
40,2.24,8,0,0,5.0176,0
41,20.16,1,12,1,406.4256,0
41,20.16,2,8,1,406.4256,1
41,20.16,3,11,1,406.4256,1
41,20.16,4,0,1,406.4256,0
41,20.16,5,0,1,406.4256,0
41,20.16,6,0,1,406.4256,1
41,20.16,7,0,1,406.4256,1
41,20.16,8,13,1,406.4256,1
42,20.16,1,6,1,406.4256,0
42,20.16,2,10,1,406.4256,1
42,20.16,3,11,1,406.4256,0
42,20.16,4,9,1,406.4256,1
42,20.16,5,10,1,406.4256,1
42,20.16,6,0,1,406.4256,1
42,20.16,7,0,1,406.4256,0
42,20.16,8,8,1,406.4256,0
43,5.78,1,0,0,33.4084,0
43,5.78,2,11,0,33.4084,0
43,5.78,3,10,0,33.4084,0
43,5.78,4,0,0,33.4084,0
43,5.78,5,21,0,33.4084,1
43,5.78,6,10,0,33.4084,1
43,5.78,7,7,0,33.4084,0
43,5.78,8,7,0,33.4084,0
44,0,1,0,0,0,0
44,0,2,0,0,0,0
44,0,3,0,0,0,0
44,0,4,0,0,0,0
44,0,5,0,0,0,0
44,0,6,0,0,0,0
44,0,7,0,0,0,0
44,0,8,0,0,0,0
45,0,1,0,1,0,0
45,0,2,0,1,0,0
45,0,3,0,1,0,0
45,0,4,0,1,0,0
45,0,5,0,1,0,0
45,0,6,0,1,0,0
45,0,7,0,1,0,0
45,0,8,0,1,0,0
46,7.96,1,0,0,63.3616,1
46,7.96,2,10,0,63.3616,0
46,7.96,3,0,0,63.3616,1
46,7.96,4,9,0,63.3616,0
46,7.96,5,10,0,63.3616,1
46,7.96,6,8,0,63.3616,0
46,7.96,7,8,0,63.3616,0
46,7.96,8,0,0,63.3616,1
47,7.96,1,10,1,63.3616,0
47,7.96,2,0,1,63.3616,0
47,7.96,3,10,1,63.3616,1
47,7.96,4,22,1,63.3616,1
47,7.96,5,0,1,63.3616,1
47,7.96,6,0,1,63.3616,0
47,7.96,7,11,1,63.3616,0
47,7.96,8,11,1,63.3616,1
48,0,1,0,0,0,0
48,0,2,0,0,0,0
48,0,3,0,0,0,0
48,0,4,0,0,0,0
48,0,5,0,0,0,0
48,0,6,0,0,0,0
48,0,7,0,0,0,0
48,0,8,0,0,0,1
49,0.33,1,0,1,0.1089,0
49,0.33,2,0,1,0.1089,0
49,0.33,3,0,1,0.1089,0
49,0.33,4,0,1,0.1089,0
49,0.33,5,0,1,0.1089,0
49,0.33,6,0,1,0.1089,0
49,0.33,7,0,1,0.1089,0
49,0.33,8,0,1,0.1089,0
50,0,1,8,0,0,0
50,0,2,0,0,0,0
50,0,3,0,0,0,0
50,0,4,0,0,0,0
50,0,5,0,0,0,0
50,0,6,0,0,0,0
50,0,7,0,0,0,0
50,0,8,0,0,0,0
51,6.62,1,0,0,43.8244,0
51,6.62,2,10,0,43.8244,0
51,6.62,3,10,0,43.8244,0
51,6.62,4,10,0,43.8244,0
51,6.62,5,11,0,43.8244,0
51,6.62,6,6,0,43.8244,0
51,6.62,7,0,0,43.8244,0
51,6.62,8,0,0,43.8244,1
52,0,1,6,1,0,0
52,0,2,10,1,0,0
52,0,3,0,1,0,0
52,0,4,0,1,0,0
52,0,5,0,1,0,0
52,0,6,0,1,0,1
52,0,7,0,1,0,0
52,0,8,0,1,0,0
53,5.71,1,10,1,32.6041,0
53,5.71,2,0,1,32.6041,1
53,5.71,3,0,1,32.6041,0
53,5.71,4,0,1,32.6041,0
53,5.71,5,0,1,32.6041,0
53,5.71,6,0,1,32.6041,1
53,5.71,7,0,1,32.6041,0
53,5.71,8,0,1,32.6041,1
54,21.68,1,0,0,470.0224,0
54,21.68,2,0,0,470.0224,1
54,21.68,3,0,0,470.0224,0
54,21.68,4,0,0,470.0224,0
54,21.68,5,0,0,470.0224,0
54,21.68,6,0,0,470.0224,0
54,21.68,7,0,0,470.0224,0
54,21.68,8,0,0,470.0224,0
55,0,1,0,1,0,0
55,0,2,12,1,0,0
55,0,3,0,1,0,0
55,0,4,10,1,0,0
55,0,5,0,1,0,1
55,0,6,11,1,0,0
55,0,7,0,1,0,0
55,0,8,0,1,0,0
56,14.05,1,8,1,197.4025,1
56,14.05,2,0,1,197.4025,1
56,14.05,3,22,1,197.4025,1
56,14.05,4,12,1,197.4025,1
56,14.05,5,12,1,197.4025,1
56,14.05,6,0,1,197.4025,1
56,14.05,7,9,1,197.4025,0
56,14.05,8,7,1,197.4025,0
57,0,1,0,1,0,0
57,0,2,0,1,0,0
57,0,3,0,1,0,0
57,0,4,0,1,0,0
57,0,5,0,1,0,0
57,0,6,0,1,0,0
57,0,7,0,1,0,0
57,0,8,0,1,0,0
58,27.39,1,0,0,750.2121,1
58,27.39,2,0,0,750.2121,0
58,27.39,3,0,0,750.2121,0
58,27.39,4,0,0,750.2121,1
58,27.39,5,0,0,750.2121,1
58,27.39,6,0,0,750.2121,0
58,27.39,7,0,0,750.2121,0
58,27.39,8,9,0,750.2121,0
59,27.39,1,17,1,750.2121,1
59,27.39,2,18,1,750.2121,1
59,27.39,3,21,1,750.2121,1
59,27.39,4,21,1,750.2121,1
59,27.39,5,23,1,750.2121,1
59,27.39,6,0,1,750.2121,1
59,27.39,7,0,1,750.2121,0
59,27.39,8,0,1,750.2121,0
60,1.44,1,0,0,2.0736,0
60,1.44,2,11,0,2.0736,0
60,1.44,3,18,0,2.0736,0
60,1.44,4,13,0,2.0736,0
60,1.44,5,0,0,2.0736,0
60,1.44,6,10,0,2.0736,0
60,1.44,7,9,0,2.0736,0
60,1.44,8,0,0,2.0736,1
61,0,1,0,1,0,0
61,0,2,11,1,0,0
61,0,3,8,1,0,0
61,0,4,0,1,0,0
61,0,5,0,1,0,0
61,0,6,8,1,0,0
61,0,7,10,1,0,0
61,0,8,10,1,0,0
62,0.19,1,0,0,0.0361,0
62,0.19,2,0,0,0.0361,0
62,0.19,3,10,0,0.0361,0
62,0.19,4,0,0,0.0361,0
62,0.19,5,0,0,0.0361,0
62,0.19,6,0,0,0.0361,0
62,0.19,7,0,0,0.0361,0
